item,class
1. рис лидер (скидка: 0.86),Рис
конфеты raffaello т4 40гр,Конфеты
фарш куриный мясная лавка поздняков 500гр,Мясо курицы
24. 2103348 колбаса венская п/к вес,Колбаса (вареная)
фиточай сахар в норме 20 пак,Чай
3. крупа алтайская сказка 800г греч яд,Гречка
28.молоко савушкин пит,Молоко
19. 4810268032424 сметана брест-литовская савушкин 20% пл/б 180гр,Сметана
"масло эмиль сливочное фасовка 200гр 72,5 % вес (кг)",Масло сливочное
"молоко п/п 0,9л жир 2,5% восток-молоко (шт)",Молоко
сахар 500гр рафинад арман 4870212650012 (шт),Сахар
2. 4607958072682 папа может 400г колбаса вар докторская п/о,Колбаса (вареная)
7. арыстан колбаса восточная вареная (скидка: 0.84),Колбаса (вареная)
16. 4870006170825 хлеб хлебозавод тостовый пшенично-ржаной 550г пак,Хлеб
3. 4607083550918 масло олейна подсолнечное 2л п/б,Масло подсолнечное
"4870002012372 масло слив молочный мир 72,5% каш фольга 180гр",Масло сливочное
3. 2810475 курочка ряба крылья в/к (скидка: 40.00),Мясо курицы
соль 400 12 овощтра - вкусная соль,Соль
33.конф. рахат маска в,Конфеты
молоко пет 3.000 x 355,Молоко
25. конфеты михайлович чернослив с грец.ор. в тем.шок.,Конфеты
"19. кефир майлыкент сут 2,5% 1,5л п/б ( набор )",Кефир
2. капуста свежая (скидка: 0.57),Капуста
4. мука алтын дан пшенич. в/сорт 10 кг {4870005461092},Мука
4. капуста краснокачанная (скидка: 0.40),Капуста
конфеты storck merci 250гр,Конфеты
8. 4870005730587 творог родина 5% пак 200г,Творог
рис вес (кг),Рис
9. whiskas аппетитный микс утка/печень/мясной соус 75гр,Корм для животных
16.мука цесна 3кг в/с ш-к:257010153,Мука
подсолнечное масло р 1 394 x 1,Масло подсолнечное
32.гречка fiero 800гр ш-к:233020321,Гречка
6. 46035134 жевательное драже mentos фрукты 37г,Жевательная резинка
масло подсол.кубанский 2л,Масло подсолнечное
4870007534299 конфеты шоколадные дрим 180гр горький,Конфеты
чай пакет. черный пиала gold лесная ягода 25 шт фольга,Чай черный
сардельки говяжьи вес 216001 сармат,"Сосиски, сардельки"
3. crystal сахар рафинад 750гр (скидка: 0.18),Сахар
"5. aroy-d кокосовое молоко 0,5л т/п (скидка: 0.73)",Молоко
"подсолнечное масло ""кункей"" 1,800мл",Масло подсолнечное
конфеты лёвушка milka 1 кг,Конфеты
"стык с дюбелем разноуровневый, ламинированный 40мм 0,9 дуб беленый",инструменты строительные
полуботинки летние мужские 5042-6,обувь
спрей от комаров моё солнышко з,средства против насекомых
